Temporada,Torneo,Pos,Jugador,Club,G,MJ
2022-2023,Apertura,1,Mia Renee Fishel,Tigres,17,1388
2022-2023,Apertura,2,Christina Marie Burkenroad,Rayadas,16,1464
2022-2023,Apertura,3,Kiana Angélica Palacios,América,13,1113
2022-2023,Apertura,4,Verónica Charlyn Corral,Pachuca,12,1485
2022-2023,Apertura,5,Aylin Ariana Aviléz,Rayadas,11,1070
2022-2023,Apertura,6,Angelina Nicole Hix,Tijuana,11,1244
2022-2023,Apertura,7,Renae Nicole Cuéllar,Tijuana,11,1366
2022-2023,Apertura,8,Beatriz Parra,Atlético de San Luis,10,1163
2022-2023,Apertura,9,Sandra Stephany Mayor,Tigres,9,1004
2022-2023,Apertura,10,Alison Hecnary González,América,9,951
2022-2023,Apertura,11,Mariel Román,Toluca,8,1434
2022-2023,Apertura,12,Alicia Cervantes,Guadalajara,7,879
2022-2023,Apertura,13,Lizbeth Jacqueline Ovalle,Tigres,7,1180
2022-2023,Apertura,14,Brenda Woch Da Graca,Toluca,7,1121
2022-2023,Apertura,15,Kristal Rubi Soto,Guadalajara,6,1222
2022-2023,Apertura,16,Christian Carolina Jaramillo,Guadalajara,6,1301
2022-2023,Apertura,17,Uchenna Grace Kanu,Tigres,6,817
2022-2023,Apertura,18,Stephanie Mariana Ribeiro,Pumas,6,767
2022-2023,Apertura,19,Edna Fabiola Santamaria,Querétaro,6,1425
2022-2023,Apertura,20,Mariana Ramos,Necaxa,6,1073
2022-2023,Apertura,21,Diana Laura Evangelista,Rayadas,5,1324
2022-2023,Apertura,22,Lizbeth Ángeles,Pachuca,5,1378
2022-2023,Apertura,23,Aerial Lynndonna Chavarin,Pumas,5,570
2022-2023,Apertura,24,Venicia Gabriela Juárez,Pumas,5,772
2022-2023,Apertura,25,Blanca María Solís,FC Juárez,5,923
2022-2023,Apertura,26,Mariana Valeria Larroquette,León,5,997
2022-2023,Apertura,27,Daniela Calderón,León,5,1486
2022-2023,Apertura,28,Gabriela Valenzuela,Guadalajara,4,1096
2022-2023,Apertura,29,Adriana Iturbide,Guadalajara,4,1181
2022-2023,Apertura,30,Katty Martínez,América,4,701
2022-2023,Apertura,31,Mónica Ocampo,Pachuca,4,1203
2022-2023,Apertura,32,Karla Paola Nieto,Pachuca,4,1346
2022-2023,Apertura,33,Marylin Viridiana Díaz,Pumas,4,1492
2022-2023,Apertura,34,Carolina Paola Venegas,Atlas,4,451
2022-2023,Apertura,35,Claudia Fabiola Ibarra,Atlas,4,740
2022-2023,Apertura,36,Jermaine Seoposenwe,FC Juárez,4,771
2022-2023,Apertura,37,Paola González,FC Juárez,4,1365
2022-2023,Apertura,38,Alexia Nayeli Villanueva,Santos Laguna,4,725
2022-2023,Apertura,39,Desarae Nicolé Félix,Santos Laguna,4,1428
2022-2023,Apertura,40,Carolina Solís,Puebla,4,968
2022-2023,Apertura,41,Magaly Cortés,Mazatlán FC,4,1057
2022-2023,Apertura,42,Diana Laura García,Rayadas,3,1118
2022-2023,Apertura,43,Summer Alora Mason,Tijuana,3,1187
2022-2023,Apertura,44,Daniela Espinosa,Tijuana,3,1488
2022-2023,Apertura,45,Mónica Rose Alvarado,Pachuca,3,955
2022-2023,Apertura,46,Jasmine Alexis Casarez,FC Juárez,3,1437
2022-2023,Apertura,47,Joana Robles,Atlético de San Luis,3,1337
2022-2023,Apertura,48,Julissa Fernanda Dávila,Atlético de San Luis,3,1485
2022-2023,Apertura,49,Lia Mariel Romero,Santos Laguna,3,476
2022-2023,Apertura,50,Alexxandra Ramírez,Santos Laguna,3,838
2022-2023,Apertura,51,Brenda León,Santos Laguna,3,1205
2022-2023,Apertura,52,Leidy Lizeth Ramos,Querétaro,3,895
2022-2023,Apertura,53,Rebeca Villuendas,Puebla,3,757
2022-2023,Apertura,54,Fátima Guadalupe Bracamonte,Puebla,3,1019
2022-2023,Apertura,55,María Elena Sainz,Puebla,3,1530
2022-2023,Apertura,56,Damaris Michel Godínez,Guadalajara,2,1202
2022-2023,Apertura,57,Barbara Klarissa Olivieri,Rayadas,2,628
2022-2023,Apertura,58,Daniela Lizbeth Solís,Rayadas,2,734
2022-2023,Apertura,59,Rebeca Bernal,Rayadas,2,1196
2022-2023,Apertura,60,Anika Elia Rodríguez,Tigres,2,470
2022-2023,Apertura,61,Greta Alejandra Espinoza,Tigres,2,1080
2022-2023,Apertura,62,Scarlett Nefer Camberos,América,2,779
2022-2023,Apertura,63,Aurelie Anne Sophie Kaci,América,2,953
2022-2023,Apertura,64,Nicolette Andrea Hernández,América,2,1173
2022-2023,Apertura,65,Verónica Raquel Pérez,Tijuana,2,1135
2022-2023,Apertura,66,Patricia De María Jardón,Toluca,2,1423
2022-2023,Apertura,67,Marta Alexandra Cox Villarreal,Pachuca,2,1016
2022-2023,Apertura,68,María Andrea Sánchez,Cruz Azul,2,1076
2022-2023,Apertura,69,Claudia Fernanda Cid,Cruz Azul,2,1190
2022-2023,Apertura,70,Ana Gabriela Lozada,Cruz Azul,2,1395
2022-2023,Apertura,71,Rebeca Zavaleta,Pumas,2,1365
2022-2023,Apertura,72,María Magalí Del Verdún Cuadrado,Atlas,2,219
2022-2023,Apertura,73,Tania Paola Morales,Atlas,2,693
2022-2023,Apertura,74,María Fernanda Daniela Pérez,Atlas,2,1262
2022-2023,Apertura,75,Norma Luz Irene Duarte,Atlas,2,1334
2022-2023,Apertura,76,Miah Alexia Zuazua,FC Juárez,2,972
2022-2023,Apertura,77,Miriam Castillo,FC Juárez,2,1259
2022-2023,Apertura,78,Andrea Hernández,FC Juárez,2,1530
2022-2023,Apertura,79,Yashira Yuleth Barrientos,León,2,430
2022-2023,Apertura,80,Lucero Ximena Cuevas,León,2,704
2022-2023,Apertura,81,Liliana Sánchez,León,2,1350
2022-2023,Apertura,82,Denisse Alejandra Rivera,Atlético de San Luis,2,835
2022-2023,Apertura,83,Daniela Carrandi,Atlético de San Luis,2,1112
2022-2023,Apertura,84,Sofía Varela,Santos Laguna,2,375
2022-2023,Apertura,85,Cinthya Peraza,Santos Laguna,2,1056
2022-2023,Apertura,86,Alejandra Guadalupe Curiel,Santos Laguna,2,1107
2022-2023,Apertura,87,Maritza Dardane Maldonado,Querétaro,2,674
2022-2023,Apertura,88,Ximena Elizabeth Rios,Querétaro,2,1400
2022-2023,Apertura,89,Rubí Sarahí Ruvalcaba,Puebla,2,759
2022-2023,Apertura,90,Bianca Esther Mora,Puebla,2,1440
2022-2023,Apertura,91,Valeria Itzel Ríos,Mazatlán FC,2,608
2022-2023,Apertura,92,Melisa Alejandra Ramos,Mazatlán FC,2,957
2022-2023,Apertura,93,Olga Anahí Trasviña,Mazatlán FC,2,1378
2022-2023,Apertura,94,Isabel Kasis,Guadalajara,1,232
2022-2023,Apertura,95,Anette Natalia Vázquez,Guadalajara,1,233
2022-2023,Apertura,96,Victoria Lizbeth Acevedo,Guadalajara,1,332
2022-2023,Apertura,97,Joseline Montoya,Guadalajara,1,915
2022-2023,Apertura,98,Michelle González,Guadalajara,1,973
2022-2023,Apertura,99,Angélica Araceli Torres,Guadalajara,1,1412
2022-2023,Apertura,100,Alejandra Guadalupe Martínez,Rayadas,1,119
2022-2023,Apertura,101,Valeria Valdez,Rayadas,1,757
2022-2023,Apertura,102,Bianca Elissa Sierra,Tigres,1,1266
2022-2023,Apertura,103,Andrea Sanchez,América,1,344
2022-2023,Apertura,104,Andrea Pereira,América,1,630
2022-2023,Apertura,105,Janelly Farias,América,1,757
2022-2023,Apertura,106,Amanda Araceli Pérez,América,1,842
2022-2023,Apertura,107,Inglis Yoana Hernández,Tijuana,1,357
2022-2023,Apertura,108,Paola Del Carmen Villamizar,Tijuana,1,965
