Temporada,Torneo,Pos,Jugador,Club,G,MJ
2017-2018,Clausura,1,Lucero Ximena Cuevas,América,15,993
2017-2018,Clausura,2,Mónica Desiree Monsiváis,Rayadas,10,834
2017-2018,Clausura,3,Betzy Casandra Cuevas,América,9,1104
2017-2018,Clausura,4,Esbeydi Viridiana Salazar,Pachuca,8,844
2017-2018,Clausura,5,Lizbeth Ángeles,Pachuca,8,1145
2017-2018,Clausura,6,Leticia Vázquez,León,8,1260
2017-2018,Clausura,7,Daniela Lizbeth Solís,Rayadas,7,716
2017-2018,Clausura,8,Norali Armenta,Rayadas,7,895
2017-2018,Clausura,9,Dayana Joselyn Cazares,América,7,739
2017-2018,Clausura,10,Belén De Jesús Cruz,Tigres,7,843
2017-2018,Clausura,11,María Natalia Mauleon,Toluca,7,934
2017-2018,Clausura,12,Zaira Carolina Miranda,Toluca,7,1055
2017-2018,Clausura,13,Rebeca Bernal,Rayadas,6,1260
2017-2018,Clausura,14,Mónica Ocampo,Pachuca,6,955
2017-2018,Clausura,15,Dinora Lizeth Garza,Rayadas,5,871
2017-2018,Clausura,16,Alison Hecnary González,Tigres,5,378
2017-2018,Clausura,17,Christian Carolina Jaramillo,Tigres,5,1201
2017-2018,Clausura,18,Brenda Noemí Viramontes,Guadalajara,5,826
2017-2018,Clausura,19,Kristal Rubi Soto,Guadalajara,5,1001
2017-2018,Clausura,20,Tania Paola Morales,Guadalajara,5,1072
2017-2018,Clausura,21,Ana Cristina Arvizu,Santos Laguna,5,728
2017-2018,Clausura,22,Melissa Leilani Arredondo,Querétaro,5,1260
2017-2018,Clausura,23,Michelle Alejandra Vargas,León,5,951
2017-2018,Clausura,24,Diana Laura Evangelista,Rayadas,4,1160
2017-2018,Clausura,25,Daniela Espinosa,América,4,419
2017-2018,Clausura,26,Katty Martínez,Tigres,4,449
2017-2018,Clausura,27,Arlett Tovar,Guadalajara,4,1170
2017-2018,Clausura,28,Ana Paola López,Pumas,4,1260
2017-2018,Clausura,29,Nadia Regina Noriega,Santos Laguna,4,897
2017-2018,Clausura,30,Sandy Paulina Cruzado,Querétaro,4,917
