Temporada,Torneo,Pos,Jugador,Club,G,MJ
2019-2020,Clausura,1,Sandra Stephany Mayor,Tigres,6,270
2019-2020,Clausura,1,Claudia Fabiola Ibarra,Atlas,6,898
2019-2020,Clausura,1,Mónica Desiree Monsiváis,Rayadas,6,648
2019-2020,Clausura,1,Esbeydi Viridiana Salazar,Pachuca,6,688
2019-2020,Clausura,5,Katty Martínez,Tigres,5,551
2019-2020,Clausura,6,Yashira Yuleth Barrientos,Guadalajara,5,526
2019-2020,Clausura,7,Marlyn Margoth Campa,América,5,558
2019-2020,Clausura,8,Diana Laura García,León,5,717
2019-2020,Clausura,9,Renae Nicole Cuéllar,Tijuana,5,351
2019-2020,Clausura,10,Ana Paola López,Pachuca,4,732
2019-2020,Clausura,11,Claudia Fernanda Cid,León,4,720
2019-2020,Clausura,12,Lizette Montserrat Rodríguez,M. Morelia,4,250
2019-2020,Clausura,13,Dulce Maria Alvarado,Necaxa,4,810
2019-2020,Clausura,14,Daniela Carrandi,Atlético de San Luis,4,752
2019-2020,Clausura,15,Mariel Román,Toluca,4,405
2019-2020,Clausura,16,Atzimba Casas,FC Juárez,4,700
2019-2020,Clausura,17,Lizbeth Jacqueline Ovalle,Tigres,3,241
2019-2020,Clausura,18,Alison Hecnary González,Atlas,3,450
2019-2020,Clausura,19,Kristal Rubi Soto,Guadalajara,3,864
2019-2020,Clausura,20,Jana Alexandra Gutiérrez,América,3,312
2019-2020,Clausura,21,Blanky Denisse Serrano,Pachuca,3,326
2019-2020,Clausura,22,Sanjuana De Jesús Muñoz,León,3,795
2019-2020,Clausura,23,Susana Romero,Cruz Azul,3,779
2019-2020,Clausura,24,Daniela Itzaxaya García,Pumas,3,766
2019-2020,Clausura,25,Lucero Ximena Cuevas,Tijuana,3,630
2019-2020,Clausura,26,Liliana Hernández,M. Morelia,3,847
2019-2020,Clausura,27,Teresa Guadalupe Worbis,Puebla,3,797
2019-2020,Clausura,28,Cinthya Peraza,Santos Laguna,3,777
2019-2020,Clausura,29,Miah Alexia Zuazua,Tigres,2,236
2019-2020,Clausura,30,Belén De Jesús Cruz,Tigres,2,609
2019-2020,Clausura,31,Adriana Iturbide,Atlas,2,447
2019-2020,Clausura,32,Tania Paola Morales,Guadalajara,2,562
2019-2020,Clausura,33,Miriam Vanessa García,Guadalajara,2,720
2019-2020,Clausura,34,Evelyn Teresa González,Guadalajara,2,795
2019-2020,Clausura,35,Daniela Lizbeth Solís,Rayadas,2,558
2019-2020,Clausura,36,Destinney Rosalía Duron,América,2,325
2019-2020,Clausura,37,Estefanía Fuentes,América,2,604
2019-2020,Clausura,38,Yamile Azenek Franco,León,2,699
2019-2020,Clausura,39,Marylin Viridiana Díaz,Cruz Azul,2,900
2019-2020,Clausura,40,Liliana Rodríguez,Pumas,2,539
2019-2020,Clausura,41,Edna Fabiola Santamaria,Pumas,2,741
2019-2020,Clausura,42,Rosa Iris Aguiar,Tijuana,2,424
2019-2020,Clausura,43,Alondra Karime Camargo,Tijuana,2,489
2019-2020,Clausura,44,Alejandra Calderón,M. Morelia,2,760
2019-2020,Clausura,45,Karla Yolanda Jiménez,M. Morelia,2,771
2019-2020,Clausura,46,Andrea Alejandra Ortega,Puebla,2,477
2019-2020,Clausura,47,Mirelle Arciniega,Puebla,2,805
2019-2020,Clausura,48,Saira Cecilia López,Necaxa,2,711
2019-2020,Clausura,49,Estefania Izaguirre,Atlético de San Luis,2,625
2019-2020,Clausura,50,Jessica Arely Vázquez,FC Juárez,2,310
2019-2020,Clausura,51,Karym Iturbe,Querétaro,2,691
2019-2020,Clausura,52,Isela Guadalupe Ojeda,Santos Laguna,2,472
2019-2020,Clausura,53,Yenifer Britany García,Tigres,1,27
2019-2020,Clausura,54,Blanca María Solís,Tigres,1,154
2019-2020,Clausura,55,Lydia Nayeli Rangel,Tigres,1,523
2019-2020,Clausura,56,Greta Alejandra Espinoza,Tigres,1,720
2019-2020,Clausura,57,Joana Robles,Atlas,1,90
2019-2020,Clausura,58,Marcia Paola García,Atlas,1,192
2019-2020,Clausura,59,Ana Anayeli Rodríguez,Atlas,1,205
2019-2020,Clausura,60,Alexa Daniela Curiel,Atlas,1,263
2019-2020,Clausura,61,Mayra Alejandra Santana,Atlas,1,471
2019-2020,Clausura,62,Ana Rosa García,Atlas,1,495
2019-2020,Clausura,63,María Fernanda Daniela Pérez,Atlas,1,900
2019-2020,Clausura,64,María Guadalupe Velázquez,Guadalajara,1,191
2019-2020,Clausura,65,Janelly Farias,Guadalajara,1,270
2019-2020,Clausura,66,Aylin Ariana Aviléz,Rayadas,1,151
2019-2020,Clausura,67,Ariana Catrina Calderón,Rayadas,1,337
2019-2020,Clausura,68,Jazmin Cristal Aguas,Rayadas,1,362
2019-2020,Clausura,69,Andrea Hernández,Rayadas,1,484
2019-2020,Clausura,70,Valeria Valdez,Rayadas,1,719
2019-2020,Clausura,71,Annia Stephany Mejía,Rayadas,1,720
2019-2020,Clausura,72,Daniela Espinosa,América,1,172
2019-2020,Clausura,73,Alexia Nayeli Villanueva,América,1,247
2019-2020,Clausura,74,Dorian Montserrat Hernández,América,1,689
2019-2020,Clausura,75,Betzy Casandra Cuevas,América,1,900
2019-2020,Clausura,76,Gloria Narváez,Pachuca,1,191
2019-2020,Clausura,77,Karla Paola Nieto,Pachuca,1,450
2019-2020,Clausura,78,Diana Izbeth Fierro,Pachuca,1,695
2019-2020,Clausura,79,Paulina Gómez,León,1,76
2019-2020,Clausura,80,Daniela Calderón,León,1,327
2019-2020,Clausura,81,Liliana Sánchez,León,1,337
2019-2020,Clausura,82,Joselyn De La Rosa,León,1,720
2019-2020,Clausura,83,María Alejandra Tovar,Cruz Azul,1,186
2019-2020,Clausura,84,Abigail De Jesús,Cruz Azul,1,189
2019-2020,Clausura,85,Wendy Atziri Jiménez,Cruz Azul,1,308
2019-2020,Clausura,86,Rebeca Villuendas,Cruz Azul,1,508
2019-2020,Clausura,87,Alejandra Guadalupe Curiel,Cruz Azul,1,584
2019-2020,Clausura,88,Jessica Liliana Tenorio,Cruz Azul,1,826
2019-2020,Clausura,89,Jaquelín García,Pumas,1,222
2019-2020,Clausura,90,Laura Herrera,Pumas,1,408
2019-2020,Clausura,91,Dania Belén Padilla,Pumas,1,590
2019-2020,Clausura,92,Deneva Cagigas,Pumas,1,810
2019-2020,Clausura,93,Evelyn Monserrat Fernández,Tijuana,1,283
2019-2020,Clausura,94,Esmeralda Verdugo,Tijuana,1,664
2019-2020,Clausura,95,Inglis Yoana Hernández,Tijuana,1,778
2019-2020,Clausura,96,Dalia Isabel Molina,M. Morelia,1,745
2019-2020,Clausura,97,María Guadalupe Cruzaley,M. Morelia,1,762
2019-2020,Clausura,98,Michell Cecilia Guerrero,M. Morelia,1,900
2019-2020,Clausura,99,Diana Elizabeth Anguiano,Puebla,1,893
2019-2020,Clausura,100,Claudia Magdalena Sánchez,Necaxa,1,120
2019-2020,Clausura,101,Dariana Rubio,Necaxa,1,464
2019-2020,Clausura,102,Libeth Paulina Castro,Necaxa,1,692
2019-2020,Clausura,103,Fanny Lizeth Grano,Necaxa,1,810
2019-2020,Clausura,104,Nayeli Munguía,Atlético de San Luis,1,153
2019-2020,Clausura,105,Ramona Guadalupe Paredes,Atlético de San Luis,1,172
2019-2020,Clausura,106,Isabel Kasis,Atlético de San Luis,1,193
2019-2020,Clausura,107,Karime Abud,Toluca,1,452
2019-2020,Clausura,108,Karla Katia Saavedra,Toluca,1,743
2019-2020,Clausura,109,Yamanic Nahomi Martínez,Toluca,1,810
2019-2020,Clausura,110,Silvia Elicerio,FC Juárez,1,415
2019-2020,Clausura,111,Jazmín Montserrat López,Querétaro,1,720
2019-2020,Clausura,112,Karen Elizabeth Hernández,Querétaro,1,800
2019-2020,Clausura,113,Sofia Alvarez,Querétaro,1,874
2019-2020,Clausura,114,Joseline Andrea Hernández,Santos Laguna,1,508
2019-2020,Clausura,115,Esmeralda Guadalupe Zamarron,Santos Laguna,1,572
2019-2020,Clausura,116,Daniela Delgado,Santos Laguna,1,688
