Temporada,Torneo,Pos,Jugador,Club,G,MJ
2020-2021,Clausura,1,Alison Hecnary González,Atlas,18,1411
2020-2021,Clausura,2,Alicia Cervantes,Guadalajara,17,1294
2020-2021,Clausura,3,Daniela Lizbeth Solís,Rayadas,11,1183
2020-2021,Clausura,4,Renae Nicole Cuéllar,Tijuana,11,1530
2020-2021,Clausura,5,Sandra Stephany Mayor,Tigres,10,1508
2020-2021,Clausura,6,Aylin Ariana Aviléz,Rayadas,9,608
2020-2021,Clausura,7,Joseline Montoya,Guadalajara,8,1484
2020-2021,Clausura,8,Alejandra Guadalupe Curiel,Cruz Azul,8,1302
2020-2021,Clausura,9,Cinthya Peraza,Santos Laguna,8,1488
2020-2021,Clausura,10,Katty Martínez,Tigres,7,740
2020-2021,Clausura,11,Christina Marie Burkenroad,Rayadas,7,869
2020-2021,Clausura,12,Esbeydi Viridiana Salazar,Pachuca,7,1138
2020-2021,Clausura,13,Alexxandra Ramírez,Santos Laguna,7,1420
2020-2021,Clausura,14,Belén De Jesús Cruz,Tigres,6,746
2020-2021,Clausura,15,Mónica Desiree Monsiváis,Rayadas,6,871
2020-2021,Clausura,16,Mónica Ocampo,Pachuca,6,1128
2020-2021,Clausura,17,Melisa Alejandra Ramos,Mazatlán FC,6,1365
2020-2021,Clausura,18,Teresa Guadalupe Worbis,Puebla,6,1186
2020-2021,Clausura,19,Christian Carolina Jaramillo,Guadalajara,5,1134
2020-2021,Clausura,20,Marlyn Margoth Campa,Pumas,5,847
2020-2021,Clausura,21,Daniela Espinosa,América,5,1285
2020-2021,Clausura,22,Maritza Dardane Maldonado,Querétaro,5,1004
2020-2021,Clausura,23,Lizette Montserrat Rodríguez,Querétaro,5,1299
2020-2021,Clausura,24,Isabella Gutiérrez,Guadalajara,4,714
2020-2021,Clausura,25,Ana Rosa García,Atlas,4,993
2020-2021,Clausura,26,Edna Fabiola Santamaria,Pumas,4,1262
2020-2021,Clausura,27,María Natalia Mauleon,Toluca,4,1094
2020-2021,Clausura,28,Arlett Tovar,Toluca,4,1530
2020-2021,Clausura,29,Daniela Calderón,León,4,1308
2020-2021,Clausura,30,Atzimba Casas,FC Juárez,4,1380
