Temporada,Torneo,Pos,Jugador,Club,G,MJ
2018-2019,Clausura,1,Claudia Fabiola Ibarra,Atlas,7,1419
2018-2019,Clausura,1,Isela Guadalupe Ojeda,Santos Laguna,7,822
2018-2019,Clausura,3,Aylin Ariana Aviléz,Rayadas,6,615
2018-2019,Clausura,4,Mónica Desiree Monsiváis,Rayadas,6,690
2018-2019,Clausura,5,Katty Martínez,Tigres,6,830
2018-2019,Clausura,6,Sanjuana De Jesús Muñoz,Pachuca,6,1065
2018-2019,Clausura,7,Ana Paola López,Pachuca,6,1248
2018-2019,Clausura,8,Lizbeth Ángeles,Pachuca,6,1302
2018-2019,Clausura,9,Edna Fabiola Santamaria,Pumas,6,1384
2018-2019,Clausura,10,Daniela Lizbeth Solís,Rayadas,5,1051
2018-2019,Clausura,11,Daniela Espinosa,América,5,1033
2018-2019,Clausura,12,Lucero Ximena Cuevas,América,5,1147
2018-2019,Clausura,13,Lizbeth Jacqueline Ovalle,Tigres,5,925
2018-2019,Clausura,14,Belén De Jesús Cruz,Tigres,5,1268
2018-2019,Clausura,15,Mónica Ocampo,Pachuca,5,748
2018-2019,Clausura,16,Joana Robles,Atlas,5,999
2018-2019,Clausura,17,Alison Hecnary González,Atlas,5,1202
2018-2019,Clausura,18,Dania Nicole Pérez,Guadalajara,5,1220
2018-2019,Clausura,19,Gloria Narváez,Lobos BUAP,5,1054
2018-2019,Clausura,20,Cinthya Peraza,Santos Laguna,5,1249
2018-2019,Clausura,21,Dalia Isabel Molina,M. Morelia,5,1389
2018-2019,Clausura,22,Norma Priscila Gaitan,Cruz Azul,5,1286
2018-2019,Clausura,23,Alicia Cervantes,Rayadas,4,885
2018-2019,Clausura,24,Dinora Lizeth Garza,Rayadas,4,1030
2018-2019,Clausura,25,Diana Victoria González,América,4,526
2018-2019,Clausura,26,Esmeralda Verdugo,América,4,1037
2018-2019,Clausura,27,Liliana Mercado,Tigres,4,1193
2018-2019,Clausura,28,Mariela Jiménez,Puebla,4,1384
2018-2019,Clausura,29,Yamile Azenek Franco,León,4,1128
2018-2019,Clausura,30,Denisse Lizette Valdez,León,4,1238
2018-2019,Clausura,31,Daniela Itzaxaya García,Pumas,4,1215
