Temporada,Torneo,Pos,Club,JJ,JG,JE,JP,GF,GC,Dif,PTS,JJ,JG,JE,JP,GF,GC,Dif,PTS,JJ,JG,JE,JP,GF,GC,Dif,PTS
2018-2019,Clausura,1,Rayadas,16,13,2,1,43,13,30,41,8,7,0,1,26,7,19,21,8,6,2,0,17,6,11,20
2018-2019,Clausura,2,América,16,12,2,2,29,10,19,38,8,7,0,1,18,4,14,21,8,5,2,1,11,6,5,17
2018-2019,Clausura,3,Tigres,16,11,3,2,36,12,24,36,8,6,2,0,21,5,16,20,8,5,1,2,15,7,8,16
2018-2019,Clausura,4,Pachuca,16,11,3,2,33,13,20,36,8,6,2,0,16,1,15,20,8,5,1,2,17,12,5,16
2018-2019,Clausura,5,Atlas,16,11,1,4,32,18,14,34,8,5,1,2,18,11,7,16,8,6,0,2,14,7,7,18
2018-2019,Clausura,6,Puebla,16,8,4,4,13,10,3,28,8,4,2,2,8,6,2,14,8,4,2,2,5,4,1,14
2018-2019,Clausura,7,León,16,7,3,6,21,23,-2,24,8,3,2,3,10,10,0,11,8,4,1,3,11,13,-2,13
2018-2019,Clausura,8,Guadalajara,16,7,2,7,17,17,0,23,8,3,2,3,8,6,2,11,8,4,0,4,9,11,-2,12
2018-2019,Clausura,9,Pumas,16,7,1,8,19,16,3,22,8,4,0,4,10,6,4,12,8,3,1,4,9,10,-1,10
2018-2019,Clausura,10,Lobos BUAP,16,6,3,7,20,17,3,21,8,4,1,3,15,10,5,13,8,2,2,4,5,7,-2,8
2018-2019,Clausura,11,Santos Laguna,16,5,3,8,19,25,-6,18,8,3,1,4,10,10,0,10,8,2,2,4,9,15,-6,8
2018-2019,Clausura,12,Veracruz,16,5,2,9,10,24,-14,17,8,3,1,4,5,10,-5,10,8,2,1,5,5,14,-9,7
2018-2019,Clausura,13,Toluca,16,4,3,9,14,23,-9,15,8,2,3,3,10,11,-1,9,8,2,0,6,4,12,-8,6
2018-2019,Clausura,14,M. Morelia,16,3,5,8,20,32,-12,14,8,2,1,5,14,16,-2,7,8,1,4,3,6,16,-10,7
2018-2019,Clausura,15,Cruz Azul,16,3,4,9,18,27,-9,13,8,1,3,4,9,13,-4,6,8,2,1,5,9,14,-5,7
2018-2019,Clausura,16,Tijuana,16,3,4,9,10,26,-16,13,8,2,1,5,4,10,-6,7,8,1,3,4,6,16,-10,6
2018-2019,Clausura,17,Necaxa,16,1,4,11,9,31,-22,7,8,0,2,6,4,15,-11,2,8,1,2,5,5,16,-11,5
2018-2019,Clausura,18,Querétaro,16,1,3,12,17,43,-26,6,8,1,2,5,9,14,-5,5,8,0,1,7,8,29,-21,1
