Temporada,Torneo,Pos,Jugador,Club,G,MJ
2020-2021,Apertura,1,Katty Martínez,Tigres,18,1299
2020-2021,Apertura,2,Alison Hecnary González,Atlas,17,1485
2020-2021,Apertura,3,Mónica Desiree Monsiváis,Rayadas,13,1155
2020-2021,Apertura,4,Alicia Cervantes,Guadalajara,12,1146
2020-2021,Apertura,5,Daniela Espinosa,América,12,1363
2020-2021,Apertura,6,Sandra Stephany Mayor,Tigres,10,1341
2020-2021,Apertura,7,Adriana Iturbide,Atlas,9,1310
2020-2021,Apertura,8,Christina Marie Burkenroad,Rayadas,9,1094
2020-2021,Apertura,9,Esbeydi Viridiana Salazar,Pachuca,8,954
2020-2021,Apertura,10,Betzy Casandra Cuevas,América,7,1428
2020-2021,Apertura,11,Renae Nicole Cuéllar,Tijuana,7,1260
2020-2021,Apertura,12,Dania Nicole Pérez,Guadalajara,6,1176
2020-2021,Apertura,13,Christian Carolina Jaramillo,Guadalajara,6,1342
2020-2021,Apertura,14,Edna Fabiola Santamaria,Pumas,6,1002
2020-2021,Apertura,15,Lizette Montserrat Rodríguez,Querétaro,6,877
2020-2021,Apertura,16,Belén De Jesús Cruz,Tigres,5,1134
2020-2021,Apertura,17,Joana Robles,Atlas,5,1436
2020-2021,Apertura,18,María Guadalupe Sánchez,Guadalajara,5,1413
2020-2021,Apertura,19,Isabel Kasis,Atlético de San Luis,5,1339
2020-2021,Apertura,20,Lucero Ximena Cuevas,León,5,1475
2020-2021,Apertura,21,Atzimba Casas,FC Juárez,5,1048
2020-2021,Apertura,22,María Fernanda Elizondo,Tigres,4,406
2020-2021,Apertura,23,Lizbeth Jacqueline Ovalle,Tigres,4,1228
2020-2021,Apertura,24,Daniela Lizbeth Solís,Rayadas,4,1210
2020-2021,Apertura,25,Rebeca Bernal,Rayadas,4,1462
2020-2021,Apertura,26,Norma Luz Irene Duarte,Guadalajara,4,751
2020-2021,Apertura,27,Liliana Rodríguez,Pumas,4,610
2020-2021,Apertura,28,Daniela Itzaxaya García,Pumas,4,1350
2020-2021,Apertura,29,Paola Estefanía Alemán,Atlético de San Luis,4,1126
2020-2021,Apertura,30,Daniela Calderón,León,4,710
2020-2021,Apertura,31,Estefany Elizabeth Hernández,Necaxa,4,1169
2020-2021,Apertura,32,Marcia Paola García,Atlas,3,542
2020-2021,Apertura,33,Claudia Fabiola Ibarra,Atlas,3,679
2020-2021,Apertura,34,Dinora Lizeth Garza,Rayadas,3,528
2020-2021,Apertura,35,Aylin Ariana Aviléz,Rayadas,3,553
2020-2021,Apertura,36,Jaquelín García,Pumas,3,754
2020-2021,Apertura,37,Anisa Raquel Guajardo,Pumas,3,909
2020-2021,Apertura,38,Karym Iturbe,Querétaro,3,736
2020-2021,Apertura,39,Leidy Lizeth Ramos,Querétaro,3,963
2020-2021,Apertura,40,Mayra Alejandra Santana,Querétaro,3,1335
2020-2021,Apertura,41,Blanky Denisse Serrano,Pachuca,3,924
2020-2021,Apertura,42,Lizbeth Ángeles,Pachuca,3,1126
2020-2021,Apertura,43,Olga Anahí Trasviña,Santos Laguna,3,947
2020-2021,Apertura,44,Alexia Nayeli Villanueva,Santos Laguna,3,1134
2020-2021,Apertura,45,Cinthya Peraza,Santos Laguna,3,1317
2020-2021,Apertura,46,Alexxandra Ramírez,Santos Laguna,3,1466
2020-2021,Apertura,47,Liliana Hernández,Mazatlán FC,3,991
2020-2021,Apertura,48,Estefania Izaguirre,Atlético de San Luis,3,1284
2020-2021,Apertura,49,Daniela Carrandi,Atlético de San Luis,3,1411
2020-2021,Apertura,50,María José López,Puebla,3,1118
2020-2021,Apertura,51,Karla Daniela Zempoalteca,Cruz Azul,3,861
2020-2021,Apertura,52,Karime Abud,Cruz Azul,3,1064
2020-2021,Apertura,53,Dulce Maria Alvarado,Necaxa,3,1337
2020-2021,Apertura,54,Natalia Inés Gómez Junco,Tigres,2,306
2020-2021,Apertura,55,Liliana Mercado,Tigres,2,1350
2020-2021,Apertura,56,Isabella Amyx,Atlas,2,170
2020-2021,Apertura,57,Norma Janeth Hernández,Atlas,2,1297
2020-2021,Apertura,58,Yamile Azenek Franco,Rayadas,2,664
2020-2021,Apertura,59,Diana Laura García,Rayadas,2,1275
2020-2021,Apertura,60,Joseline Montoya,Guadalajara,2,605
2020-2021,Apertura,61,Dalia Isabel Molina,América,2,591
2020-2021,Apertura,62,Dorian Montserrat Hernández,América,2,975
2020-2021,Apertura,63,Selene Itzel Valera,América,2,1154
2020-2021,Apertura,64,Marlyn Margoth Campa,América,2,1220
2020-2021,Apertura,65,Paola Chavero,Pumas,2,311
2020-2021,Apertura,66,Mayra Fernanda Ríos,Querétaro,2,805
2020-2021,Apertura,67,Karla Paola Nieto,Pachuca,2,1440
2020-2021,Apertura,68,Estela Gómez,Santos Laguna,2,777
2020-2021,Apertura,69,Fátima Guadalupe Bracamonte,Mazatlán FC,2,338
2020-2021,Apertura,70,Melisa Alejandra Ramos,Mazatlán FC,2,943
2020-2021,Apertura,71,Citlali Guadalupe Hernández,Atlético de San Luis,2,911
2020-2021,Apertura,72,Kenya García,Atlético de San Luis,2,1530
2020-2021,Apertura,73,Andrea Alejandra Ortega,Puebla,2,687
2020-2021,Apertura,74,Brenda Noemí Viramontes,León,2,774
2020-2021,Apertura,75,Sanjuana De Jesús Muñoz,León,2,1155
2020-2021,Apertura,76,Rebeca Villuendas,Cruz Azul,2,569
2020-2021,Apertura,77,Mariel Román,Toluca,2,710
2020-2021,Apertura,78,Zaira Carolina Miranda,Toluca,2,846
2020-2021,Apertura,79,Arlett Tovar,Toluca,2,1430
2020-2021,Apertura,80,María Natalia Mauleon,Toluca,2,1472
2020-2021,Apertura,81,Valeria Abigail Barajas,Tijuana,2,573
2020-2021,Apertura,82,Carmen Angelica González,FC Juárez,2,626
2020-2021,Apertura,83,Selena Carolina Castillo,FC Juárez,2,1223
2020-2021,Apertura,84,Cindy Guadalupe Caro,FC Juárez,2,1292
2020-2021,Apertura,85,María Akemi Yokoyama,Tigres,1,298
2020-2021,Apertura,86,Bianca Elissa Sierra,Tigres,1,987
2020-2021,Apertura,87,Nancy Guadalupe Antonio,Tigres,1,1062
2020-2021,Apertura,88,Natalia Villarreal,Tigres,1,1373
2020-2021,Apertura,89,Vanessa González,Atlas,1,723
