Temporada,Torneo,Pos,Jugador,Club,G,MJ
2019-2020,Apertura,1,Mónica Desiree Monsiváis,Rayadas,17,1226
2019-2020,Apertura,1,Esbeydi Viridiana Salazar,Pachuca,17,1520
2019-2020,Apertura,3,Daniela Espinosa,América,13,1272
2019-2020,Apertura,4,Renae Nicole Cuéllar,Tijuana,12,1530
2019-2020,Apertura,5,Katty Martínez,Tigres,10,883
2019-2020,Apertura,6,Diana Laura Evangelista,Rayadas,9,1172
2019-2020,Apertura,7,Mariel Román,Toluca,9,1465
2019-2020,Apertura,8,Adriana Iturbide,Atlas,9,1442
2019-2020,Apertura,9,Lizbeth Jacqueline Ovalle,Tigres,8,1261
2019-2020,Apertura,10,Alison Hecnary González,Atlas,8,1501
2019-2020,Apertura,11,Dalia Isabel Molina,M. Morelia,8,1596
2019-2020,Apertura,12,Belén De Jesús Cruz,Tigres,6,1275
2019-2020,Apertura,13,Karla Yolanda Jiménez,M. Morelia,6,1510
2019-2020,Apertura,14,Sanjuana De Jesús Muñoz,León,6,1554
2019-2020,Apertura,15,Liliana Hernández,Veracruz,6,1518
2019-2020,Apertura,16,Aylin Ariana Aviléz,Rayadas,5,498
2019-2020,Apertura,17,Daniela Lizbeth Solís,Rayadas,5,820
2019-2020,Apertura,18,Dinora Lizeth Garza,Rayadas,5,1225
2019-2020,Apertura,19,Mónica Ocampo,Pachuca,5,1043
2019-2020,Apertura,20,Lucero Ximena Cuevas,América,5,581
2019-2020,Apertura,21,Kristal Rubi Soto,Guadalajara,5,1291
2019-2020,Apertura,22,Betzy Casandra Cuevas,Tijuana,5,1335
2019-2020,Apertura,23,Claudia Fabiola Ibarra,Atlas,5,1357
2019-2020,Apertura,24,Alejandra Calderón,M. Morelia,5,1260
2019-2020,Apertura,25,Paola González,Cruz Azul,5,843
2019-2020,Apertura,26,Martha Natalia Enciso,Cruz Azul,5,1386
2019-2020,Apertura,27,Alejandra Guadalupe Curiel,Cruz Azul,5,1396
2019-2020,Apertura,28,Brenda León,Cruz Azul,5,1477
2019-2020,Apertura,29,María José López,Puebla,5,1620
2019-2020,Apertura,30,Estela Gómez,Santos Laguna,5,731
2019-2020,Apertura,31,Ana Paola López,Pachuca,4,1294
2019-2020,Apertura,32,Diana Izbeth Fierro,Pachuca,4,1378
2019-2020,Apertura,33,Yashira Yuleth Barrientos,Guadalajara,4,1015
2019-2020,Apertura,34,Dania Nicole Pérez,Guadalajara,4,1607
2019-2020,Apertura,35,María Natalia Mauleon,Toluca,4,920
2019-2020,Apertura,36,María Guadalupe Cruzaley,M. Morelia,4,1574
2019-2020,Apertura,37,Daniela Calderón,León,4,1031
2019-2020,Apertura,38,Yamile Azenek Franco,León,4,1559
2019-2020,Apertura,39,Andrea Alejandra Ortega,Puebla,4,1044
2019-2020,Apertura,40,Cinthya Peraza,Santos Laguna,4,1620
2019-2020,Apertura,41,Natalia Inés Gómez Junco,Tigres,3,520
2019-2020,Apertura,42,Greta Alejandra Espinoza,Tigres,3,1620
2019-2020,Apertura,43,Dorian Montserrat Hernández,América,3,1530
2019-2020,Apertura,44,Tania Paola Morales,Guadalajara,3,1316
2019-2020,Apertura,45,Joseline Montoya,Guadalajara,3,1508
2019-2020,Apertura,46,Zellyka Guadalupe Arce,Atlas,3,1513
2019-2020,Apertura,47,Jocelyn Atzimba Flores,M. Morelia,3,344
2019-2020,Apertura,48,Mariam Nataly Castro,Puebla,3,739
2019-2020,Apertura,49,Alejandra Zoe Tapia,Querétaro,3,1346
2019-2020,Apertura,50,Edna Fabiola Santamaria,Pumas,3,1609
2019-2020,Apertura,51,Casandra Montero,Veracruz,3,1249
2019-2020,Apertura,52,Alexxandra Ramírez,Santos Laguna,3,1552
2019-2020,Apertura,53,Flor Rocío Rodríguez,FC Juárez,3,1114
2019-2020,Apertura,54,Jessica Arely Vázquez,FC Juárez,3,1302
2019-2020,Apertura,55,Jazmin Cristal Aguas,Rayadas,2,319
2019-2020,Apertura,56,Alicia Cervantes,Rayadas,2,737
2019-2020,Apertura,57,Rebeca Bernal,Rayadas,2,1260
2019-2020,Apertura,58,Andrea Hernández,Rayadas,2,1391
2019-2020,Apertura,59,María Fernanda Elizondo,Tigres,2,412
2019-2020,Apertura,60,Nancy Guadalupe Antonio,Tigres,2,1234
2019-2020,Apertura,61,Liliana Mercado,Tigres,2,1375
2019-2020,Apertura,62,Karen Itzayana Gómez,Pachuca,2,1131
2019-2020,Apertura,63,Lizbeth Ángeles,Pachuca,2,1443
2019-2020,Apertura,64,Karla Paola Nieto,Pachuca,2,1485
2019-2020,Apertura,65,Alexia Nayeli Villanueva,América,2,366
2019-2020,Apertura,66,Jennifer Justine Muñoz,América,2,1322
2019-2020,Apertura,67,Janelly Farias,Guadalajara,2,1394
2019-2020,Apertura,68,Diana Jaqueline Rodríguez,Guadalajara,2,1467
2019-2020,Apertura,69,Miriam Castillo,Guadalajara,2,1531
2019-2020,Apertura,70,Karime Abud,Toluca,2,1027
2019-2020,Apertura,71,Karen Becerril,Toluca,2,1573
2019-2020,Apertura,72,Isabel Cristina Fonseca,Tijuana,2,924
2019-2020,Apertura,73,Jocelyn Marie Orejel,Tijuana,2,1086
2019-2020,Apertura,74,Karen Miroslava Maprigat,Tijuana,2,1204
2019-2020,Apertura,75,Maritza Dardane Maldonado,Atlas,2,431
