Temporada,Torneo,Pos,Jugador,Club,G,MJ
2023-2024,Apertura,1,Maricarmen Reyes,Tigres,15,1189
2023-2024,Apertura,1,Alicia Cervantes,Guadalajara,15,1398
2023-2024,Apertura,3,Verónica Charlyn Corral,Pachuca,13,1440
2023-2024,Apertura,4,Lizbeth Jacqueline Ovalle,Tigres,11,1186
2023-2024,Apertura,5,Kiana Angélica Palacios,América,11,858
2023-2024,Apertura,6,Katty Martínez,América,10,1082
2023-2024,Apertura,7,Andrea Pereira,América,10,1098
2023-2024,Apertura,8,Christina Marie Burkenroad,Rayadas,10,982
2023-2024,Apertura,9,Mónica Desiree Monsiváis,Pumas,9,931
2023-2024,Apertura,10,Adriana Iturbide,Guadalajara,8,1207
2023-2024,Apertura,11,Jasmine Alexis Casarez,FC Juárez,8,1025
2023-2024,Apertura,12,Yashira Yuleth Barrientos,León,8,1277
2023-2024,Apertura,13,Erica Gomes Da Silva Santos,Cruz Azul,8,1020
2023-2024,Apertura,14,Aisha Keshy Solórzano,Puebla,8,927
2023-2024,Apertura,15,Alison Hecnary González,América,7,1003
2023-2024,Apertura,16,Mariel Román,Toluca,7,1257
2023-2024,Apertura,17,Aerial Lynndonna Chavarin,Pumas,7,1080
2023-2024,Apertura,18,Sayuri Yuki Watari,FC Juárez,7,1088
2023-2024,Apertura,19,Myra Alexandra Delgadillo,Rayadas,6,959
2023-2024,Apertura,20,Mayra Alejandra Pelayo-bernal,Tijuana,6,1322
2023-2024,Apertura,21,Sanjuana De Jesús Muñoz,Tijuana,6,1449
2023-2024,Apertura,22,Daniela Espinosa,Tijuana,6,1502
2023-2024,Apertura,23,Edna Fabiola Santamaria,Querétaro,6,1425
2023-2024,Apertura,24,Lydia Nayeli Rangel,Tigres,5,788
2023-2024,Apertura,25,Belén De Jesús Cruz,Tigres,5,885
2023-2024,Apertura,26,Sarah Jacquelyn Luebbert,América,5,657
2023-2024,Apertura,27,Carlee Rose Giammona,Rayadas,5,971
2023-2024,Apertura,28,Marta Alexandra Cox Villarreal,Pachuca,5,915
2023-2024,Apertura,29,Alice Fernanda Soto,Pachuca,5,1020
2023-2024,Apertura,30,Stephanie Mariana Ribeiro,Pumas,5,452
2023-2024,Apertura,31,Claudia Fabiola Ibarra,Atlas,5,1496
2023-2024,Apertura,32,Savianna Gomez,Puebla,5,763
2023-2024,Apertura,33,Sandra Stephany Mayor,Tigres,4,1042
2023-2024,Apertura,34,Greta Alejandra Espinoza,Tigres,4,1318
2023-2024,Apertura,35,Betzy Casandra Cuevas,América,4,485
2023-2024,Apertura,36,Gabriela Valenzuela,Guadalajara,4,889
2023-2024,Apertura,37,Christian Carolina Jaramillo,Guadalajara,4,1481
2023-2024,Apertura,38,Chinwendu Verónica Ihezuo,Rayadas,4,724
2023-2024,Apertura,39,Angelina Nicole Hix,Tijuana,4,786
2023-2024,Apertura,40,Brenda Woch Da Graca,Toluca,4,1053
2023-2024,Apertura,41,Cinthya Peraza,Toluca,4,1350
2023-2024,Apertura,42,Priscila Chinchilla,Pachuca,4,676
2023-2024,Apertura,43,Esbeydi Viridiana Salazar,Pachuca,4,915
2023-2024,Apertura,44,Marylin Viridiana Díaz,Pumas,4,1020
2023-2024,Apertura,45,Prisca Chilufya,FC Juárez,4,1086
2023-2024,Apertura,46,Daniela Calderón,León,4,811
2023-2024,Apertura,47,Maria Aparecida Souza,León,4,883
2023-2024,Apertura,48,Magaly Cortés,Querétaro,4,625
2023-2024,Apertura,49,Brenda Damaris Ceren,Atlas,4,1304
2023-2024,Apertura,50,Aylin Ariana Aviléz,América,3,622
2023-2024,Apertura,51,María Natalia Mauleon,América,3,952
2023-2024,Apertura,52,Karen Irasema Luna,América,3,988
2023-2024,Apertura,53,Jocelyn Marie Orejel,América,3,1041
2023-2024,Apertura,54,Kristal Rubi Soto,Guadalajara,3,957
2023-2024,Apertura,55,Diana Laura García,Rayadas,3,718
2023-2024,Apertura,56,Jermaine Seoposenwe,Rayadas,3,723
2023-2024,Apertura,57,Rebeca Bernal,Rayadas,3,1035
2023-2024,Apertura,58,Daphne Melissa Herrera,Tijuana,3,567
2023-2024,Apertura,59,Mónica Rose Alvarado,Tijuana,3,1048
2023-2024,Apertura,60,Bianca Esther Mora,Tijuana,3,1275
2023-2024,Apertura,61,Jennifer Hermoso,Pachuca,3,463
2023-2024,Apertura,62,Vanessa Beatriz Millsaps,Pachuca,3,1161
2023-2024,Apertura,63,Catalina Estrada,Cruz Azul,3,445
2023-2024,Apertura,64,Norma Luz Irene Duarte,Cruz Azul,3,1041
2023-2024,Apertura,65,María Paula Salas,Atlas,3,564
2023-2024,Apertura,66,Karla Patricia Morales,Puebla,3,1382
2023-2024,Apertura,67,Julissa Fernanda Dávila,Atlético de San Luis,3,1432
2023-2024,Apertura,68,Joseline Andrea Hernández,Necaxa,3,1237
2023-2024,Apertura,69,Michel Anahy Ruiz,Santos Laguna,3,1195
2023-2024,Apertura,70,Alexxandra Ramírez,Santos Laguna,3,1508
2023-2024,Apertura,71,Cristina María Torres,Mazatlán FC,3,957
2023-2024,Apertura,72,Cristina Del Carmen Ferral,Tigres,2,1485
2023-2024,Apertura,73,Kimberly Vanessa Rodríguez,América,2,1239
2023-2024,Apertura,74,Casandra Montero,Guadalajara,2,1530
2023-2024,Apertura,75,Dania Nicole Pérez,Rayadas,2,1097
2023-2024,Apertura,76,Samantha Kassandra Calvillo,Toluca,2,382
2023-2024,Apertura,77,Natalia Macías Valadez,Toluca,2,609
2023-2024,Apertura,78,Natalia Judith Colín,Toluca,2,1326
2023-2024,Apertura,79,Natalia Inés Gómez Junco,Toluca,2,1385
2023-2024,Apertura,80,Laura Herrera,Pumas,2,209
2023-2024,Apertura,81,Kimberli Anahí Gómez,Pumas,2,722
2023-2024,Apertura,82,Paola Chavero,Pumas,2,1260
2023-2024,Apertura,83,Dania Belén Padilla,Pumas,2,1460
2023-2024,Apertura,84,Dirce Delgado,Pumas,2,1475
2023-2024,Apertura,85,Grace Asantewaa,FC Juárez,2,976
2023-2024,Apertura,86,Ana Gabriela Lozada,FC Juárez,2,1524
2023-2024,Apertura,87,Meghan Lee Cavanaugh,Cruz Azul,2,982
2023-2024,Apertura,88,Jennie Marshall Lakip,Querétaro,2,247
2023-2024,Apertura,89,Tania Paola Morales,Querétaro,2,474
2023-2024,Apertura,90,Fátima Del Carmen Delgado,Querétaro,2,811
2023-2024,Apertura,91,Jazmín Enrigue,Querétaro,2,1508
2023-2024,Apertura,92,Marcia Paola García,Atlas,2,510
2023-2024,Apertura,93,María Fernanda Daniela Pérez,Atlas,2,1519
2023-2024,Apertura,94,Luz Aida Duarte,Atlético de San Luis,2,428
