Temporada,Torneo,Pos,Jugador,Club,G,MJ
2024-2025,Apertura,1,Verónica Charlyn Corral,Pachuca,18,1530
2024-2025,Apertura,2,Aisha Keshy Solórzano,Tijuana,16,1385
2024-2025,Apertura,3,Lizbeth Jacqueline Ovalle,Tigres,15,1251
2024-2025,Apertura,4,Kiana Angélica Palacios,América,13,1141
2024-2025,Apertura,5,Alicia Cervantes,Guadalajara,11,1490
2024-2025,Apertura,6,Stephanie Mariana Ribeiro,Pumas,11,1033
2024-2025,Apertura,7,Sarah Jacquelyn Luebbert,América,10,1113
2024-2025,Apertura,8,Christina Marie Burkenroad,Rayadas,9,801
2024-2025,Apertura,9,Chinwendu Verónica Ihezuo,Pachuca,9,1073
2024-2025,Apertura,10,María Paula Salas,Atlas,9,1211
2024-2025,Apertura,11,Mariel Román,Toluca,8,1278
2024-2025,Apertura,12,Jasmine Alexis Casarez,FC Juárez,7,1077
2024-2025,Apertura,13,Dania Nicole Pérez,Rayadas,6,959
2024-2025,Apertura,14,Michaela Batya Bisi Abam,Toluca,6,1084
2024-2025,Apertura,15,Cinthya Peraza,Toluca,6,1417
2024-2025,Apertura,16,Enekia Kasonga Lunyamila,Mazatlán FC,6,1067
2024-2025,Apertura,17,Lucía García,Rayadas,5,732
2024-2025,Apertura,18,Scarlett Nefer Camberos,América,5,758
2024-2025,Apertura,19,Irene Guerrero,América,5,1209
2024-2025,Apertura,20,Aerial Lynndonna Chavarin,Pumas,5,1158
2024-2025,Apertura,21,Edna Fabiola Santamaria,Querétaro,5,1258
2024-2025,Apertura,22,Marcia Paola García,Atlas,5,774
2024-2025,Apertura,23,Ana Lucia Martínez,Rayadas,4,662
2024-2025,Apertura,24,Chrestinah Thembi Kgatlana,Tigres,4,1010
2024-2025,Apertura,25,Dayana Milan Martin,FC Juárez,4,370
2024-2025,Apertura,26,Janelly Farias,FC Juárez,4,1209
2024-2025,Apertura,27,Adriana Iturbide,Guadalajara,4,459
2024-2025,Apertura,28,Gabriela Valenzuela,Guadalajara,4,1191
2024-2025,Apertura,29,Deneisha Selena Blackwood,Pumas,4,1354
2024-2025,Apertura,30,Wendis Jhoana Cabrera,Querétaro,4,610
2024-2025,Apertura,31,Dalia Isabel Molina,Cruz Azul,4,1261
2024-2025,Apertura,32,María Fernanda Sánchez,Atlético de San Luis,4,1310
2024-2025,Apertura,33,Allison Rose Veloz,Necaxa,4,1182
2024-2025,Apertura,34,Jermaine Seoposenwe,Rayadas,3,683
2024-2025,Apertura,35,Ana Inés Costa Mendes,Tigres,3,543
2024-2025,Apertura,36,Alison Hecnary González,Tigres,3,669
2024-2025,Apertura,37,Jennifer Hermoso,Tigres,3,712
2024-2025,Apertura,38,Priscila Flor Da Silva,América,3,315
2024-2025,Apertura,39,María Natalia Mauleon,América,3,438
2024-2025,Apertura,40,Angelique Montserrat Saldivar,América,3,508
2024-2025,Apertura,41,Aylin Ariana Aviléz,América,3,524
2024-2025,Apertura,42,Karen Irasema Luna,América,3,1222
2024-2025,Apertura,43,Grace Asantewaa,FC Juárez,3,1207
2024-2025,Apertura,44,Annia Stephany Mejía,FC Juárez,3,1347
2024-2025,Apertura,45,Christian Carolina Jaramillo,Guadalajara,3,907
2024-2025,Apertura,46,Dorian Montserrat Hernández,Guadalajara,3,1015
2024-2025,Apertura,47,Sindia Anahi Arteaga,Pumas,3,675
2024-2025,Apertura,48,Amandine Henry,Toluca,3,634
2024-2025,Apertura,49,Brenda Woch Da Graca,Toluca,3,1296
2024-2025,Apertura,50,Daniela Espinosa,Tijuana,3,820
2024-2025,Apertura,51,Mayra Alejandra Pelayo-bernal,Tijuana,3,1088
2024-2025,Apertura,52,Dulce Maria Alvarado,Querétaro,3,402
2024-2025,Apertura,53,Solange Lemos,Querétaro,3,1468
2024-2025,Apertura,54,Ximena Elizabeth Rios,Cruz Azul,3,909
2024-2025,Apertura,55,Danielle Marie Fuentes,Cruz Azul,3,1163
2024-2025,Apertura,56,Lizbeth Ángeles,León,3,940
2024-2025,Apertura,57,María Cristina Montaño,Mazatlán FC,3,1382
2024-2025,Apertura,58,Sandra Nabweteme,Santos Laguna,3,296
2024-2025,Apertura,59,Katty Martínez,Rayadas,2,614
2024-2025,Apertura,60,Diana Laura García,Rayadas,2,1031
2024-2025,Apertura,61,Rebeca Bernal,Rayadas,2,1210
2024-2025,Apertura,62,Tanna Sánchez,Rayadas,2,1247
2024-2025,Apertura,63,Maricarmen Reyes,Tigres,2,840
2024-2025,Apertura,64,Sandra Stephany Mayor,Tigres,2,1087
2024-2025,Apertura,65,Nicolette Andrea Hernández,América,2,841
2024-2025,Apertura,66,Kimberly Vanessa Rodríguez,América,2,849
2024-2025,Apertura,67,Nina Dominique Nicosia,Pachuca,2,475
2024-2025,Apertura,68,Mónica Ocampo,Pachuca,2,734
2024-2025,Apertura,69,Ohale Osinachi,Pachuca,2,1253
2024-2025,Apertura,70,Prisca Chilufya,FC Juárez,2,1003
2024-2025,Apertura,71,Liliana Mercado,FC Juárez,2,1134
2024-2025,Apertura,72,Karime Abud,FC Juárez,2,1448
2024-2025,Apertura,73,Esbeydi Viridiana Salazar,Guadalajara,2,1112
2024-2025,Apertura,74,Kinberly Paloma Guzmán,Guadalajara,2,1321
2024-2025,Apertura,75,Laura Herrera,Pumas,2,530
2024-2025,Apertura,76,Alejandra Guerrero,Pumas,2,1091
2024-2025,Apertura,77,Paola Del Carmen Villamizar,Tijuana,2,733
2024-2025,Apertura,78,Mónica Rose Alvarado,Tijuana,2,1064
2024-2025,Apertura,79,Bianca Esther Mora,Tijuana,2,1153
2024-2025,Apertura,80,Emily Loriana Flores,Querétaro,2,1268
2024-2025,Apertura,81,Alondra Karime Camargo,Querétaro,2,1530
2024-2025,Apertura,82,Kayla Laurynn Fernandez,Atlas,2,369
2024-2025,Apertura,83,Brenda Damaris Ceren,Atlas,2,1401
2024-2025,Apertura,84,María Fernanda Daniela Pérez,Atlas,2,1530
2024-2025,Apertura,85,Sarah Anne Mary Huchet,Cruz Azul,2,607
2024-2025,Apertura,86,Ana Rosa García,Cruz Azul,2,780
2024-2025,Apertura,87,Renata Fernanda Huerta,Cruz Azul,2,873
2024-2025,Apertura,88,Danya Jasmin Gutiérrrez,Cruz Azul,2,902
2024-2025,Apertura,89,Edith Deyanira Carmona,Cruz Azul,2,1417
2024-2025,Apertura,90,Valeria Valdez,Cruz Azul,2,1529
2024-2025,Apertura,91,Elliana Rose Ramirez,León,2,288
2024-2025,Apertura,92,Yashira Yuleth Barrientos,León,2,625
2024-2025,Apertura,93,Daniela Calderón,León,2,751
2024-2025,Apertura,94,Michelle Guadalupe Gutiérrez,Atlético de San Luis,2,120
2024-2025,Apertura,95,Denisse Alejandra Rivera,Atlético de San Luis,2,846
2024-2025,Apertura,96,Isidora Victoria Olave,Atlético de San Luis,2,1422
2024-2025,Apertura,97,Olga Massombo,Mazatlán FC,2,713
2024-2025,Apertura,98,Sebelle Elysse Rojas,Puebla,2,1222
2024-2025,Apertura,99,Johana Esperanza Rosas,Puebla,2,1269
2024-2025,Apertura,100,Kimberli Anahí Gómez,Santos Laguna,2,1177
2024-2025,Apertura,101,Ana Gabriela Huerta,Necaxa,2,915
2024-2025,Apertura,102,Carla Monique Montes,Rayadas,1,94
2024-2025,Apertura,103,Lourdes Sofía Martínez,Rayadas,1,121
2024-2025,Apertura,104,Marcela Restrepo,Rayadas,1,421
2024-2025,Apertura,105,Diana Laura Evangelista,Rayadas,1,617
2024-2025,Apertura,106,Myra Alexandra Delgadillo,Rayadas,1,695
2024-2025,Apertura,107,Karol Esthefany Bernal,Rayadas,1,783
2024-2025,Apertura,108,María Fernanda Elizondo,Tigres,1,111
2024-2025,Apertura,109,Natalia Judith Colín,Tigres,1,253
2024-2025,Apertura,110,Lydia Nayeli Rangel,Tigres,1,399
2024-2025,Apertura,111,Joseline Montoya,Tigres,1,443
2024-2025,Apertura,112,Belén De Jesús Cruz,Tigres,1,694
2024-2025,Apertura,113,Cristina Del Carmen Ferral,Tigres,1,890
2024-2025,Apertura,114,Greta Alejandra Espinoza,Tigres,1,1119
2024-2025,Apertura,115,Rebekah Alysee Valdez,América,1,11
2024-2025,Apertura,116,Alexa Soto,América,1,82
2024-2025,Apertura,117,Nancy Guadalupe Antonio,América,1,1110
2024-2025,Apertura,118,Abril Anahí Fragoso,Pachuca,1,33
2024-2025,Apertura,119,Shanice Janice Van De Sanden,Pachuca,1,550
2024-2025,Apertura,120,Amanda Araceli Pérez,Pachuca,1,721
2024-2025,Apertura,121,Alice Fernanda Soto,Pachuca,1,818
2024-2025,Apertura,122,Alexandra Guadalupe Godínez,Pachuca,1,956
2024-2025,Apertura,123,Yirleidis Quejada,Pachuca,1,1153
2024-2025,Apertura,124,Daniela Frank Flores,Pachuca,1,1233
2024-2025,Apertura,125,Vaitiare Kenti Robles,Pachuca,1,1366
2024-2025,Apertura,126,Blanca María Solís,FC Juárez,1,148
2024-2025,Apertura,127,Mónica Desiree Monsiváis,FC Juárez,1,173
