Temporada,Torneo,Pos,Club,JJ,JG,JE,JP,GF,GC,Dif,PTS,JJ,JG,JE,JP,GF,GC,Dif,PTS,JJ,JG,JE,JP,GF,GC,Dif,PTS
2021-2022,Apertura,1,Tigres,17,15,2,0,52,7,45,47,9,9,0,0,34,4,30,27,8,6,2,0,18,3,15,20
2021-2022,Apertura,2,Rayadas,17,14,2,1,45,10,35,44,8,8,0,0,23,3,20,24,9,6,2,1,22,7,15,20
2021-2022,Apertura,3,Atlas,17,11,3,3,30,16,14,36,8,5,1,2,12,10,2,16,9,6,2,1,18,6,12,20
2021-2022,Apertura,4,Guadalajara,17,10,3,4,35,17,18,33,9,7,1,1,21,6,15,22,8,3,2,3,14,11,3,11
2021-2022,Apertura,5,América,17,9,4,4,33,19,14,31,9,6,2,1,21,9,12,20,8,3,2,3,12,10,2,11
2021-2022,Apertura,6,Santos Laguna,17,9,3,5,37,26,11,30,8,4,3,1,18,11,7,15,9,5,0,4,19,15,4,15
2021-2022,Apertura,7,Tijuana,17,9,3,5,30,19,11,30,8,5,1,2,19,5,14,16,9,4,2,3,11,14,-3,14
2021-2022,Apertura,8,Cruz Azul,17,7,3,7,15,28,-13,24,8,4,3,1,9,6,3,15,9,3,0,6,6,22,-16,9
2021-2022,Apertura,9,Pachuca,17,6,5,6,28,24,4,23,9,3,3,3,14,8,6,12,8,3,2,3,14,16,-2,11
2021-2022,Apertura,10,Pumas,17,5,6,6,19,16,3,21,9,5,1,3,13,6,7,16,8,0,5,3,6,10,-4,5
2021-2022,Apertura,11,Puebla,17,5,3,9,18,30,-12,18,9,3,2,4,12,14,-2,11,8,2,1,5,6,16,-10,7
2021-2022,Apertura,12,Toluca,17,5,3,9,13,27,-14,18,8,2,2,4,6,13,-7,8,9,3,1,5,7,14,-7,10
2021-2022,Apertura,13,Necaxa,17,5,3,9,16,34,-18,18,9,4,0,5,12,16,-4,12,8,1,3,4,4,18,-14,6
2021-2022,Apertura,14,Querétaro,17,4,4,9,19,23,-4,16,9,2,3,4,14,13,1,9,8,2,1,5,5,10,-5,7
2021-2022,Apertura,15,León,17,3,5,9,18,30,-12,14,8,1,3,4,8,13,-5,6,9,2,2,5,10,17,-7,8
2021-2022,Apertura,16,Atlético de San Luis,17,2,7,8,14,32,-18,13,8,2,4,2,10,10,0,10,9,0,3,6,4,22,-18,3
2021-2022,Apertura,17,Mazatlán FC,17,1,3,13,6,40,-34,6,8,1,2,5,5,14,-9,5,9,0,1,8,1,26,-25,1
2021-2022,Apertura,18,FC Juárez,17,1,2,14,11,41,-30,5,9,0,1,8,7,20,-13,1,8,1,1,6,4,21,-17,4
