Temporada,Torneo,Pos,Jugador,Club,G,MJ
2023-2024,Clausura,1,Verónica Charlyn Corral,Pachuca,19,1350
2023-2024,Clausura,2,Katty Martínez,América,15,1175
2023-2024,Clausura,3,Stephanie Mariana Ribeiro,Pumas,14,1320
2023-2024,Clausura,4,Chinwendu Verónica Ihezuo,Pachuca,13,1262
2023-2024,Clausura,5,Sandra Stephany Mayor,Tigres,12,1202
2023-2024,Clausura,6,Alicia Cervantes,Guadalajara,11,946
2023-2024,Clausura,7,Aerial Lynndonna Chavarin,Pumas,9,1248
2023-2024,Clausura,8,Yashira Yuleth Barrientos,León,9,1124
2023-2024,Clausura,9,Jasmine Alexis Casarez,FC Juárez,9,1351
2023-2024,Clausura,10,Brenda Woch Da Graca,Toluca,9,1378
2023-2024,Clausura,11,Daniela Espinosa,Tijuana,9,1404
2023-2024,Clausura,12,Jermaine Seoposenwe,Rayadas,8,1027
2023-2024,Clausura,13,Jennifer Hermoso,Tigres,7,997
2023-2024,Clausura,14,Myra Alexandra Delgadillo,Rayadas,7,1312
2023-2024,Clausura,15,Deneisha Selena Blackwood,Pumas,7,1201
2023-2024,Clausura,16,Chrestinah Thembi Kgatlana,Tigres,6,906
2023-2024,Clausura,17,Merel Didi Van Dongen,Rayadas,6,727
2023-2024,Clausura,18,Dania Nicole Pérez,Rayadas,6,1454
2023-2024,Clausura,19,Sarah Jacquelyn Luebbert,América,6,1188
2023-2024,Clausura,20,Adriana Iturbide,Guadalajara,6,1386
2023-2024,Clausura,21,Daniela Calderón,León,6,1365
2023-2024,Clausura,22,Aisha Keshy Solórzano,Puebla,6,1316
2023-2024,Clausura,23,Danielle Marie Fuentes,Necaxa,6,1244
2023-2024,Clausura,24,Ximena Elizabeth Rios,Cruz Azul,6,1059
2023-2024,Clausura,25,Maricarmen Reyes,Tigres,5,969
2023-2024,Clausura,26,Lizbeth Jacqueline Ovalle,Tigres,5,1140
2023-2024,Clausura,27,Ana Lucia Martínez,Rayadas,5,1205
2023-2024,Clausura,28,Christian Carolina Jaramillo,Guadalajara,5,1318
2023-2024,Clausura,29,Alejandra Guerrero,Pumas,5,1203
2023-2024,Clausura,30,Lizbeth Ángeles,León,5,1314
2023-2024,Clausura,31,Prisca Chilufya,FC Juárez,5,1190
2023-2024,Clausura,32,Mariel Román,Toluca,5,1026
2023-2024,Clausura,33,Jennie Marshall Lakip,Querétaro,5,488
2023-2024,Clausura,34,Marcia Paola García,Atlas,5,1181
2023-2024,Clausura,35,Savianna Gomez,Puebla,5,1294
2023-2024,Clausura,36,Sinoxolo Cesane,Mazatlán FC,5,675
2023-2024,Clausura,37,Trudi Sudan Carter,Atlético de San Luis,5,1385
2023-2024,Clausura,38,Alison Hecnary González,Tigres,4,822
2023-2024,Clausura,39,Rebeca Bernal,Rayadas,4,1205
2023-2024,Clausura,40,Dana Gabrielle Sandoval,Guadalajara,4,710
2023-2024,Clausura,41,Janelly Farias,FC Juárez,4,1375
2023-2024,Clausura,42,Natalia Macías Valadez,Toluca,4,1180
2023-2024,Clausura,43,Cinthya Peraza,Toluca,4,1488
2023-2024,Clausura,44,Lía Betsabé Morán,Querétaro,4,1205
2023-2024,Clausura,45,María Paula Salas,Atlas,4,735
2023-2024,Clausura,46,Hildah Tholakele Magaia,Mazatlán FC,4,1158
2023-2024,Clausura,47,Soumaya Lyna Bouak,Mazatlán FC,4,1445
2023-2024,Clausura,48,Erica Gomes Da Silva Santos,Cruz Azul,4,849
2023-2024,Clausura,49,Annelise Marie Henderson,Santos Laguna,4,840
2023-2024,Clausura,50,Daniela Itzaxaya García,Santos Laguna,4,1442
2023-2024,Clausura,51,Lydia Nayeli Rangel,Tigres,3,318
2023-2024,Clausura,52,Belén De Jesús Cruz,Tigres,3,620
2023-2024,Clausura,53,Alice Fernanda Soto,Pachuca,3,875
2023-2024,Clausura,54,Daniela Frank Flores,Pachuca,3,1440
2023-2024,Clausura,55,Miah Alexia Zuazua,América,3,710
2023-2024,Clausura,56,Kiana Angélica Palacios,América,3,1030
2023-2024,Clausura,57,Aurelie Anne Sophie Kaci,América,3,1086
2023-2024,Clausura,58,Mayalu Ann Rausch,León,3,1423
2023-2024,Clausura,59,Alondra Blanco,FC Juárez,3,241
2023-2024,Clausura,60,Samantha Kassandra Calvillo,Toluca,3,465
2023-2024,Clausura,61,Michaela Batya Bisi Abam,Toluca,3,831
2023-2024,Clausura,62,Jazmín Enrigue,Querétaro,3,1394
2023-2024,Clausura,63,Sanjuana De Jesús Muñoz,Tijuana,3,618
2023-2024,Clausura,64,Marta Alexandra Cox Villarreal,Tijuana,3,902
2023-2024,Clausura,65,Mayra Alejandra Pelayo-bernal,Tijuana,3,924
2023-2024,Clausura,66,Mónica Rose Alvarado,Tijuana,3,1088
2023-2024,Clausura,67,Brenda Damaris Ceren,Atlas,3,1374
2023-2024,Clausura,68,Liliana Fernández,Puebla,3,1085
2023-2024,Clausura,69,Mariana Ramos,Necaxa,3,532
2023-2024,Clausura,70,Ana Rosa García,Cruz Azul,3,1027
2023-2024,Clausura,71,Lia Mariel Romero,Santos Laguna,3,1075
2023-2024,Clausura,72,María Fernanda Elizondo,Tigres,2,59
2023-2024,Clausura,73,Destinee Noel Manzo,Pachuca,2,591
2023-2024,Clausura,74,Mónica Ocampo,Pachuca,2,802
2023-2024,Clausura,75,Claudia Fabiola Ibarra,Pachuca,2,844
2023-2024,Clausura,76,Yanin Madrid,Pachuca,2,1113
2023-2024,Clausura,77,Christina Marie Burkenroad,Rayadas,2,386
2023-2024,Clausura,78,Yamile Azenek Franco,Rayadas,2,482
2023-2024,Clausura,79,Aylin Ariana Aviléz,América,2,378
2023-2024,Clausura,80,María Natalia Mauleon,América,2,723
2023-2024,Clausura,81,Karen Irasema Luna,América,2,977
2023-2024,Clausura,82,Andrea Pereira,América,2,1297
2023-2024,Clausura,83,Esbeydi Viridiana Salazar,Guadalajara,2,810
2023-2024,Clausura,84,Gabriela Valenzuela,Guadalajara,2,920
2023-2024,Clausura,85,Mónica Desiree Monsiváis,Pumas,2,578
2023-2024,Clausura,86,Dinora Lizeth Garza,León,2,266
2023-2024,Clausura,87,Ysaura Candelaria Viso,León,2,380
2023-2024,Clausura,88,Norma Luz Irene Duarte,FC Juárez,2,274
2023-2024,Clausura,89,Andrea Hernández,FC Juárez,2,796
2023-2024,Clausura,90,Annia Stephany Mejía,FC Juárez,2,1151
2023-2024,Clausura,91,Michelle González,Toluca,2,1530
2023-2024,Clausura,92,Edna Fabiola Santamaria,Querétaro,2,1040
2023-2024,Clausura,93,Inglis Yoana Hernández,Tijuana,2,1003
2023-2024,Clausura,94,Daphne Melissa Herrera,Tijuana,2,1063
2023-2024,Clausura,95,Maritza Dardane Maldonado,Atlas,2,962
2023-2024,Clausura,96,Fátima Rosales,Puebla,2,677
2023-2024,Clausura,97,Dulce Eileen Martínez,Puebla,2,1530
