Temporada,Torneo,Pos,Jugador,Club,G,MJ
2021-2022,Clausura,1,Alicia Cervantes,Guadalajara,14,1090
2021-2022,Clausura,2,Verónica Charlyn Corral,Pachuca,13,1444
2021-2022,Clausura,3,Sandra Stephany Mayor,Tigres,11,1368
2021-2022,Clausura,4,Scarlett Nefer Camberos,América,11,1214
2021-2022,Clausura,5,Uchenna Grace Kanu,Tigres,10,1135
2021-2022,Clausura,6,Mónica Desiree Monsiváis,Rayadas,9,958
2021-2022,Clausura,7,Katty Martínez,América,9,1245
2021-2022,Clausura,8,Adriana Iturbide,Atlas,9,1255
2021-2022,Clausura,9,Destinney Rosalía Duron,Toluca,9,1322
2021-2022,Clausura,10,Daniela Calderón,León,9,1454
2021-2022,Clausura,11,Mia Renee Fishel,Tigres,8,958
2021-2022,Clausura,12,Beatriz Parra,Atlético de San Luis,8,1223
2021-2022,Clausura,13,Luciana Nicolé García,Necaxa,8,1419
2021-2022,Clausura,14,Christina Marie Burkenroad,Rayadas,7,1184
2021-2022,Clausura,15,Rebeca Bernal,Rayadas,7,1253
2021-2022,Clausura,16,Renae Nicole Cuéllar,Tijuana,7,1340
2021-2022,Clausura,17,Daniela Lizbeth Solís,Rayadas,6,1323
2021-2022,Clausura,18,Diana Laura García,Rayadas,6,1348
2021-2022,Clausura,19,Sarah Jacquelyn Luebbert,América,6,1206
2021-2022,Clausura,20,Sanjuana De Jesús Muñoz,Tijuana,6,1292
2021-2022,Clausura,21,Cinthya Peraza,Santos Laguna,6,1381
2021-2022,Clausura,22,Aylin Ariana Aviléz,Rayadas,5,719
2021-2022,Clausura,23,María Fernanda Elizondo,Tigres,5,236
2021-2022,Clausura,24,Stephanie Mariana Ribeiro,Pumas,5,923
2021-2022,Clausura,25,Magaly Cortés,Cruz Azul,5,851
2021-2022,Clausura,26,Karen Becerril,Toluca,5,1421
2021-2022,Clausura,27,Alexia Nayeli Villanueva,Santos Laguna,5,1158
2021-2022,Clausura,28,Dania Nicole Pérez,Rayadas,4,1030
2021-2022,Clausura,29,Christian Carolina Jaramillo,Guadalajara,4,1140
2021-2022,Clausura,30,Lizbeth Jacqueline Ovalle,Tigres,4,1410
2021-2022,Clausura,31,Mónica Ocampo,Pachuca,4,662
2021-2022,Clausura,32,Esbeydi Viridiana Salazar,Pachuca,4,1079
2021-2022,Clausura,33,Claudia Fabiola Ibarra,Atlas,4,993
2021-2022,Clausura,34,Dalia Isabel Molina,Cruz Azul,4,911
2021-2022,Clausura,35,Daniela Sánchez,Querétaro,4,1128
2021-2022,Clausura,36,Sonia Vázquez,Querétaro,4,1502
2021-2022,Clausura,37,Lydia Nayeli Rangel,Tigres,3,670
2021-2022,Clausura,38,María Natalia Mauleon,América,3,371
2021-2022,Clausura,39,Daniela Espinosa,América,3,868
2021-2022,Clausura,40,Verónica Raquel Pérez,Atlas,3,1419
2021-2022,Clausura,41,Angelina Nicole Hix,Tijuana,3,1032
2021-2022,Clausura,42,Mariel Román,Toluca,3,987
2021-2022,Clausura,43,Diana Michelle Guatemala,Toluca,3,1295
2021-2022,Clausura,44,Jordana Pérez,Atlético de San Luis,3,130
2021-2022,Clausura,45,Emily Misdiel González,Atlético de San Luis,3,548
2021-2022,Clausura,46,Fanny Lizeth Grano,Necaxa,3,1385
2021-2022,Clausura,47,Connie Elizabeth Caliz,Mazatlán FC,3,1261
2021-2022,Clausura,48,Verónica Martins,Puebla,3,362
2021-2022,Clausura,49,Celeste Alejandra Vidal,FC Juárez,3,610
2021-2022,Clausura,50,Jasmine Alexis Casarez,FC Juárez,3,1133
2021-2022,Clausura,51,Diana Laura Evangelista,Rayadas,2,623
2021-2022,Clausura,52,Michelle González,Guadalajara,2,1256
2021-2022,Clausura,53,Casandra Montero,Guadalajara,2,1308
2021-2022,Clausura,54,Joseline Montoya,Guadalajara,2,1385
2021-2022,Clausura,55,Kristal Rubi Soto,Guadalajara,2,1390
2021-2022,Clausura,56,Nicolette Andrea Hernández,América,2,427
2021-2022,Clausura,57,Betzy Casandra Cuevas,América,2,1370
2021-2022,Clausura,58,Janelly Farias,América,2,1460
2021-2022,Clausura,59,Natalia Inés Gómez Junco,Pachuca,2,624
2021-2022,Clausura,60,Lizbeth Ángeles,Pachuca,2,1149
2021-2022,Clausura,61,Zellyka Guadalupe Arce,Atlas,2,1141
2021-2022,Clausura,62,Aerial Lynndonna Chavarin,Pumas,2,487
2021-2022,Clausura,63,Marylin Viridiana Díaz,Pumas,2,1421
2021-2022,Clausura,64,Claudia Fernanda Cid,Cruz Azul,2,765
2021-2022,Clausura,65,Diana Laura García,Cruz Azul,2,1338
2021-2022,Clausura,66,Ana Gabriela Lozada,Cruz Azul,2,1530
2021-2022,Clausura,67,Zaira Carolina Miranda,Toluca,2,506
2021-2022,Clausura,68,Stephanie Baz,Toluca,2,581
2021-2022,Clausura,69,Natalia Judith Colín,Toluca,2,595
2021-2022,Clausura,70,Mariana Díaz Leal,Querétaro,2,963
2021-2022,Clausura,71,Jaquelín García,Querétaro,2,1166
2021-2022,Clausura,72,Mariela Jiménez,Santos Laguna,2,748
2021-2022,Clausura,73,Marcela Valera,Santos Laguna,2,1186
2021-2022,Clausura,74,Flor Rocío Rodríguez,Necaxa,2,561
2021-2022,Clausura,75,Montserrat Peña,Mazatlán FC,2,1178
2021-2022,Clausura,76,Fátima Guadalupe Bracamonte,León,2,664
2021-2022,Clausura,77,María Elena Sainz,Puebla,2,1313
2021-2022,Clausura,78,Dulce Eileen Martínez,Puebla,2,1340
2021-2022,Clausura,79,Alejandra Guadalupe Curiel,FC Juárez,2,643
2021-2022,Clausura,80,Perla Rocío Navarrete,FC Juárez,2,644
2021-2022,Clausura,81,Barbara Klarissa Olivieri,Rayadas,1,111
2021-2022,Clausura,82,Mónica Irina Flores,Rayadas,1,806
2021-2022,Clausura,83,Valeria Del Campo,Rayadas,1,824
2021-2022,Clausura,84,Yamile Azenek Franco,Rayadas,1,1174
2021-2022,Clausura,85,Victoria Lizbeth Acevedo,Guadalajara,1,344
2021-2022,Clausura,86,Karen Irasema Luna,América,1,1025
