Temporada,Torneo,Pos,Jugador,Club,G,MJ
2021-2022,Apertura,1,Alicia Cervantes,Guadalajara,17,1493
2021-2022,Apertura,2,Renae Nicole Cuéllar,Tijuana,15,1530
2021-2022,Apertura,3,Mónica Desiree Monsiváis,Rayadas,14,1315
2021-2022,Apertura,4,Sandra Stephany Mayor,Tigres,13,1257
2021-2022,Apertura,5,Alison Hecnary González,Atlas,13,1327
2021-2022,Apertura,6,Katty Martínez,Tigres,12,937
2021-2022,Apertura,7,Daniela Espinosa,América,11,1359
2021-2022,Apertura,8,Alexia Nayeli Villanueva,Santos Laguna,11,1446
2021-2022,Apertura,9,Diana Laura Evangelista,Rayadas,9,1423
2021-2022,Apertura,10,Esbeydi Viridiana Salazar,Pachuca,9,994
2021-2022,Apertura,11,Cinthya Peraza,Santos Laguna,8,1471
2021-2022,Apertura,12,Aylin Ariana Aviléz,Rayadas,7,1102
2021-2022,Apertura,13,María Guadalupe Sánchez,Tigres,6,1238
2021-2022,Apertura,14,Rebeca Bernal,Rayadas,6,1530
2021-2022,Apertura,15,Marcia Paola García,Atlas,6,1108
2021-2022,Apertura,16,Christian Carolina Jaramillo,Guadalajara,6,977
2021-2022,Apertura,17,Belén De Jesús Cruz,Tigres,5,921
2021-2022,Apertura,18,Alexxandra Ramírez,Santos Laguna,5,1200
2021-2022,Apertura,19,Paola Del Carmen Villamizar,Tijuana,5,686
2021-2022,Apertura,20,Fanny Lizeth Grano,Necaxa,5,1530
2021-2022,Apertura,21,Leidy Lizeth Ramos,Querétaro,5,866
2021-2022,Apertura,22,Lizbeth Jacqueline Ovalle,Tigres,4,1268
2021-2022,Apertura,23,Michelle González,Guadalajara,4,1199
2021-2022,Apertura,24,Joseline Montoya,Guadalajara,4,1468
2021-2022,Apertura,25,Verónica Charlyn Corral,Pachuca,4,878
2021-2022,Apertura,26,Natalia Inés Gómez Junco,Pachuca,4,940
2021-2022,Apertura,27,Verónica Martins,Puebla,4,461
2021-2022,Apertura,28,Samantha Kassandra Calvillo,Necaxa,4,1455
2021-2022,Apertura,29,Jaquelín García,Querétaro,4,1095
2021-2022,Apertura,30,Anisa Raquel Guajardo,León,4,890
2021-2022,Apertura,31,Daniela Calderón,León,4,1278
2021-2022,Apertura,32,Adriana Iturbide,Atlas,3,827
2021-2022,Apertura,33,Daniela Frank Flores,América,3,324
2021-2022,Apertura,34,Kiana Angélica Palacios,América,3,822
2021-2022,Apertura,35,Betzy Casandra Cuevas,América,3,1390
2021-2022,Apertura,36,Janelly Farias,América,3,1440
2021-2022,Apertura,37,Daniela Delgado,Santos Laguna,3,1326
2021-2022,Apertura,38,Angelina Nicole Hix,Tijuana,3,1157
2021-2022,Apertura,39,Michelle Francini Montero,Cruz Azul,3,345
2021-2022,Apertura,40,Karime Abud,Cruz Azul,3,1052
2021-2022,Apertura,41,Magaly Cortés,Cruz Azul,3,1428
2021-2022,Apertura,42,Lucero Ximena Cuevas,Pachuca,3,689
2021-2022,Apertura,43,Luz Aida Duarte,Pumas,3,451
