Temporada,Torneo,Columna_3,Columna_4,Columna_5,Columna_6,Columna_7,Columna_8,Columna_9,Columna_10,Columna_11,Columna_12,Columna_13,Columna_14,Columna_15,Columna_16,Columna_17,Columna_18,Columna_19,Columna_20,Columna_21,Columna_22,Columna_23,Columna_24,Columna_25,Columna_26,Columna_27,Columna_28
2020-2021,Clausura,1,Tigres,17,12,4,1,39,12,27,40,8,7,1,0,18,3,15,22,9,5,3,1,21,9,12,18
2020-2021,Clausura,2,Guadalajara,17,11,3,3,44,19,25,36,9,7,1,1,28,7,21,22,8,4,2,2,16,12,4,14
2020-2021,Clausura,3,Atlas,17,10,4,3,30,23,7,34,8,4,2,2,17,14,3,14,9,6,2,1,13,9,4,20
2020-2021,Clausura,4,Rayadas,17,10,3,4,40,22,18,33,9,5,3,1,24,11,13,18,8,5,0,3,16,11,5,15
2020-2021,Clausura,5,Pumas,17,9,5,3,24,17,7,32,9,6,2,1,13,7,6,20,8,3,3,2,11,10,1,12
2020-2021,Clausura,6,Pachuca,17,9,3,5,24,15,9,30,8,6,1,1,13,4,9,19,9,3,2,4,11,11,0,11
2020-2021,Clausura,7,Toluca,17,8,5,4,17,14,3,29,8,4,3,1,7,4,3,15,9,4,2,3,10,10,0,14
2020-2021,Clausura,8,América,17,6,6,5,23,22,1,24,9,3,3,3,16,16,0,12,8,3,3,2,7,6,1,12
2020-2021,Clausura,9,Cruz Azul,17,6,4,7,21,26,-5,22,8,3,2,3,11,11,0,11,9,3,2,4,10,15,-5,11
2020-2021,Clausura,10,Santos Laguna,17,5,5,7,24,27,-3,20,8,2,3,3,11,12,-1,9,9,3,2,4,13,15,-2,11
2020-2021,Clausura,11,Querétaro,17,6,1,10,21,27,-6,19,8,3,1,4,11,14,-3,10,9,3,0,6,10,13,-3,9
2020-2021,Clausura,12,Tijuana,17,5,3,9,17,20,-3,18,9,2,2,5,5,7,-2,8,8,3,1,4,12,13,-1,10
2020-2021,Clausura,13,Mazatlán FC,17,4,6,7,16,25,-9,18,9,1,4,4,9,14,-5,7,8,3,2,3,7,11,-4,11
2020-2021,Clausura,14,León,17,5,2,10,17,33,-16,17,9,5,0,4,12,17,-5,15,8,0,2,6,5,16,-11,2
2020-2021,Clausura,15,Necaxa,17,4,4,9,14,29,-15,16,9,4,2,3,9,9,0,14,8,0,2,6,5,20,-15,2
2020-2021,Clausura,16,Puebla,17,3,4,10,14,24,-10,13,8,2,1,5,6,10,-4,7,9,1,3,5,8,14,-6,6
2020-2021,Clausura,17,FC Juárez,17,3,3,11,15,28,-13,12,9,2,2,5,10,12,-2,8,8,1,1,6,5,16,-11,4
2020-2021,Clausura,18,Atlético de San Luis,17,2,5,10,19,36,-17,11,8,2,2,4,11,16,-5,8,9,0,3,6,8,20,-12,3
