Temporada,Torneo,Columna_3,Columna_4,Columna_5,Columna_6,Columna_7,Columna_8,Columna_9,Columna_10,Columna_11,Columna_12,Columna_13,Columna_14,Columna_15,Columna_16,Columna_17,Columna_18,Columna_19,Columna_20,Columna_21,Columna_22,Columna_23,Columna_24,Columna_25,Columna_26,Columna_27,Columna_28
2017-2018,Clausura,1,Rayadas,14,11,1,2,45,13,32,34,7,5,1,1,25,6,19,16,7,6,0,1,20,7,13,18
2017-2018,Clausura,2,América,14,10,3,1,47,11,36,33,7,6,0,1,24,5,19,18,7,4,3,0,23,6,17,15
2017-2018,Clausura,3,Tigres,14,10,1,3,38,16,22,31,7,5,0,2,23,9,14,15,7,5,1,1,15,7,8,16
2017-2018,Clausura,4,Guadalajara,14,9,2,3,30,13,17,29,7,4,0,3,11,6,5,12,7,5,2,0,19,7,12,17
2017-2018,Clausura,5,Toluca,14,9,2,3,22,13,9,29,7,3,2,2,10,6,4,11,7,6,0,1,12,7,5,18
2017-2018,Clausura,6,Pachuca,14,9,1,4,32,13,19,28,7,4,1,2,14,7,7,13,7,5,0,2,18,6,12,15
2017-2018,Clausura,7,Pumas,14,7,3,4,18,7,11,24,7,4,1,2,12,5,7,13,7,3,2,2,6,2,4,11
2017-2018,Clausura,8,Santos Laguna,14,8,0,6,21,19,2,24,7,4,0,3,12,10,2,12,7,4,0,3,9,9,0,12
2017-2018,Clausura,9,Veracruz,14,5,3,6,10,19,-9,18,7,3,1,3,6,10,-4,10,7,2,2,3,4,9,-5,8
2017-2018,Clausura,10,Querétaro,14,5,3,6,21,32,-11,18,7,4,1,2,15,15,0,13,7,1,2,4,6,17,-11,5
2017-2018,Clausura,11,Cruz Azul,14,3,3,8,9,26,-17,12,7,3,0,4,5,8,-3,9,7,0,3,4,4,18,-14,3
2017-2018,Clausura,12,Tijuana,14,2,4,8,11,21,-10,10,7,0,4,3,6,10,-4,4,7,2,0,5,5,11,-6,6
2017-2018,Clausura,13,Necaxa,14,3,1,10,10,34,-24,10,7,1,1,5,5,11,-6,4,7,2,0,5,5,23,-18,6
2017-2018,Clausura,14,León,14,2,3,9,20,39,-19,9,7,1,2,4,11,15,-4,5,7,1,1,5,9,24,-15,4
2017-2018,Clausura,15,Atlas,14,2,1,11,15,34,-19,7,7,2,1,4,12,14,-2,7,7,0,0,7,3,20,-17,0
2017-2018,Clausura,16,M. Morelia,14,0,3,11,8,47,-39,3,7,0,2,5,4,25,-21,2,7,0,1,6,4,22,-18,1
