Temporada,Torneo,Columna_3,Columna_4,Columna_5,Columna_6,Columna_7,Columna_8,Columna_9,Columna_10,Columna_11,Columna_12,Columna_13,Columna_14,Columna_15,Columna_16,Columna_17,Columna_18,Columna_19,Columna_20,Columna_21,Columna_22,Columna_23,Columna_24,Columna_25,Columna_26,Columna_27,Columna_28
2023-2024,Apertura,1,Tigres,17,14,2,1,51,11,40,44,9,8,0,1,27,7,20,24,8,6,2,0,24,4,20,20
2023-2024,Apertura,2,América,17,14,0,3,65,23,42,42,8,7,0,1,31,8,23,21,9,7,0,2,34,15,19,21
2023-2024,Apertura,3,Guadalajara,17,13,3,1,43,11,32,42,9,8,1,0,23,3,20,25,8,5,2,1,20,8,12,17
2023-2024,Apertura,4,Rayadas,17,11,5,1,41,13,28,38,8,5,3,0,21,7,14,18,9,6,2,1,20,6,14,20
2023-2024,Apertura,5,Tijuana,17,10,4,3,35,21,14,34,8,2,4,2,10,11,-1,10,9,8,0,1,25,10,15,24
2023-2024,Apertura,6,Toluca,17,9,3,5,28,26,2,30,8,5,2,1,16,8,8,17,9,4,1,4,12,18,-6,13
2023-2024,Apertura,7,Pachuca,17,8,3,6,42,31,11,27,8,6,0,2,23,13,10,18,9,2,3,4,19,18,1,9
2023-2024,Apertura,8,Pumas,17,8,2,7,37,27,10,26,8,7,0,1,28,10,18,21,9,1,2,6,9,17,-8,5
2023-2024,Apertura,9,FC Juárez,17,7,5,5,28,23,5,26,9,4,3,2,15,10,5,15,8,3,2,3,13,13,0,11
2023-2024,Apertura,10,León,17,7,2,8,20,30,-10,23,9,5,1,3,14,13,1,16,8,2,1,5,6,17,-11,7
2023-2024,Apertura,11,Cruz Azul,17,7,1,9,25,32,-7,22,9,5,0,4,19,18,1,15,8,2,1,5,6,14,-8,7
2023-2024,Apertura,12,Querétaro,17,6,3,8,25,28,-3,21,8,3,2,3,12,11,1,11,9,3,1,5,13,17,-4,10
2023-2024,Apertura,13,Atlas,17,5,3,9,20,32,-12,18,8,4,1,3,12,14,-2,13,9,1,2,6,8,18,-10,5
2023-2024,Apertura,14,Puebla,17,4,2,11,19,42,-23,14,8,3,2,3,13,19,-6,11,9,1,0,8,6,23,-17,3
2023-2024,Apertura,15,Atlético de San Luis,17,3,3,11,17,34,-17,12,9,3,1,5,10,12,-2,10,8,0,2,6,7,22,-15,2
2023-2024,Apertura,16,Necaxa,17,2,2,13,10,44,-34,8,9,1,2,6,7,19,-12,5,8,1,0,7,3,25,-22,3
2023-2024,Apertura,17,Santos Laguna,17,0,5,12,12,51,-39,5,9,0,2,7,7,30,-23,2,8,0,3,5,5,21,-16,3
2023-2024,Apertura,18,Mazatlán FC,17,0,2,15,12,51,-39,2,9,0,1,8,8,21,-13,1,8,0,1,7,4,30,-26,1
